武侠剧场 374, rtp://239.2.1.90:4120
喜剧影院 375, rtp://239.2.1.91:4120
动作影院 376, rtp://239.2.1.92:4120
家庭影院 377, rtp://239.2.1.93:4120
星影 378, rtp://239.2.1.94:4120
IPTV5+高清 379, rtp://239.2.1.237:4120
爱上4K 401, rtp://239.2.1.236:2000
电竞世界 501, rtp://239.2.1.120:3120
VBR测试-2 502, rtp://239.2.1.140:8000
轮播-5 505, rtp://239.2.1.253:8002
CCTV-3 510, rtp://239.2.1.3:8008
CCTV-5 511, rtp://239.2.1.5:8016
CCTV-6 512, rtp://239.2.1.245:8220
CCTV-8 513, rtp://239.2.1.8:8224
VBR测试-1 515, rtp://239.2.1.139:8000
4K测试 520, rtp://239.2.1.104:8002
高清测试 521, rtp://239.2.1.103:8002
总平台测试1 522, rtp://239.2.1.247:2000
总平台测试2 523, rtp://239.2.1.248:2000
天元围棋直播 524, rtp://239.2.1.202:8002
